2025-10-09 08:01:17,244 - WARNING - Failed to fetch port stats for switch 30, using defaults
2025-10-09 08:01:17,267 - WARNING - Failed to fetch port stats for switch 8, using defaults
2025-10-09 08:01:17,297 - WARNING - Failed to fetch port stats for switch 21, using defaults
2025-10-09 08:01:17,339 - WARNING - Failed to fetch port stats for switch 13, using defaults
2025-10-09 08:01:17,366 - WARNING - Failed to fetch port stats for switch 32, using defaults
2025-10-09 08:01:17,379 - WARNING - Failed to fetch port stats for switch 29, using defaults
2025-10-09 08:01:17,414 - WARNING - Failed to fetch port stats for switch 33, using defaults
2025-10-09 08:01:17,452 - WARNING - Failed to fetch port stats for switch 14, using defaults
2025-10-09 08:01:17,500 - WARNING - Failed to fetch port stats for switch 7, using defaults
2025-10-09 08:01:17,512 - WARNING - Failed to fetch port stats for switch 244866307128911, using defaults
2025-10-09 08:01:17,527 - WARNING - Failed to fetch port stats for switch 35, using defaults
2025-10-09 08:01:17,562 - WARNING - Failed to fetch port stats for switch 22, using defaults
2025-10-09 08:01:17,579 - WARNING - Failed to fetch port stats for switch 42, using defaults
2025-10-09 08:01:17,597 - WARNING - Failed to fetch port stats for switch 9, using defaults
2025-10-09 08:01:17,607 - WARNING - Failed to fetch port stats for switch 3, using defaults
2025-10-09 08:01:17,623 - WARNING - Failed to fetch port stats for switch 10, using defaults
2025-10-09 08:01:17,639 - WARNING - Failed to fetch port stats for switch 16, using defaults
2025-10-09 08:01:17,913 - INFO - Graph updated: 96 nodes, 112 edges
2025-10-09 08:01:17,914 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000002e'
2025-10-09 08:06:27,988 - INFO - Fetched switches: 48 switches
2025-10-09 08:06:27,989 - INFO - Fetched links: 112 links
2025-10-09 08:06:27,990 - INFO - Fetched hosts: 48 hosts
2025-10-09 08:06:27,993 - WARNING - Failed to fetch port stats for switch 26, using defaults
2025-10-09 08:06:28,004 - WARNING - Failed to fetch port stats for switch 31, using defaults
2025-10-09 08:06:28,053 - WARNING - Failed to fetch port stats for switch 11, using defaults
2025-10-09 08:06:28,069 - WARNING - Failed to fetch port stats for switch 20, using defaults
2025-10-09 08:06:28,095 - WARNING - Failed to fetch port stats for switch 37, using defaults
2025-10-09 08:06:28,120 - WARNING - Failed to fetch port stats for switch 36, using defaults
2025-10-09 08:06:28,142 - WARNING - Failed to fetch port stats for switch 23, using defaults
2025-10-09 08:06:28,164 - WARNING - Failed to fetch port stats for switch 2, using defaults
2025-10-09 08:06:28,216 - WARNING - Failed to fetch port stats for switch 17, using defaults
2025-10-09 08:06:28,283 - WARNING - Failed to fetch port stats for switch 1, using defaults
2025-10-09 08:06:28,308 - WARNING - Failed to fetch port stats for switch 39, using defaults
